timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732810069304,1031,SignIn,500,Internal Server Error,Thread Group 1-86,text,false,,161,255,890,890,http://0.0.0.0:5002/v1/sign-in,1031,0,83
1732810069304,1031,SignIn,500,Internal Server Error,Thread Group 1-82,text,false,,161,255,889,889,http://0.0.0.0:5002/v1/sign-in,1031,0,83
1732810069311,1025,SignIn,500,Internal Server Error,Thread Group 1-32,text,false,,161,255,888,888,http://0.0.0.0:5002/v1/sign-in,1025,0,74
1732810069309,1027,SignIn,500,Internal Server Error,Thread Group 1-24,text,false,,161,255,887,887,http://0.0.0.0:5002/v1/sign-in,1027,0,77
1732810069382,953,SignIn,500,Internal Server Error,Thread Group 1-153,text,false,,161,255,887,887,http://0.0.0.0:5002/v1/sign-in,953,0,1
1732810069386,949,SignIn,500,Internal Server Error,Thread Group 1-69,text,false,,161,255,884,884,http://0.0.0.0:5002/v1/sign-in,949,0,1
1732810069396,939,SignIn,500,Internal Server Error,Thread Group 1-181,text,false,,161,255,884,884,http://0.0.0.0:5002/v1/sign-in,939,0,3
1732810069383,952,SignIn,500,Internal Server Error,Thread Group 1-163,text,false,,161,255,883,883,http://0.0.0.0:5002/v1/sign-in,952,0,0
1732810069380,955,SignIn,500,Internal Server Error,Thread Group 1-154,text,false,,161,255,883,883,http://0.0.0.0:5002/v1/sign-in,955,0,2
1732810069321,1016,SignIn,200,OK,Thread Group 1-10,text,true,,164,255,883,883,http://0.0.0.0:5002/v1/sign-in,1016,0,8
1732810069308,1029,SignIn,500,Internal Server Error,Thread Group 1-51,text,false,,161,255,882,882,http://0.0.0.0:5002/v1/sign-in,1029,0,78
1732810069322,1015,SignIn,200,OK,Thread Group 1-52,text,true,,164,255,882,882,http://0.0.0.0:5002/v1/sign-in,1015,0,7
1732810069329,1007,SignIn,200,OK,Thread Group 1-108,text,true,,164,255,882,882,http://0.0.0.0:5002/v1/sign-in,1007,0,0
1732810069588,742,SignIn,500,Internal Server Error,Thread Group 1-366,text,false,,161,255,880,880,http://0.0.0.0:5002/v1/sign-in,742,0,3
1732810069322,1015,SignIn,200,OK,Thread Group 1-30,text,true,,164,255,880,880,http://0.0.0.0:5002/v1/sign-in,1015,0,7
1732810069316,1021,SignIn,200,OK,Thread Group 1-100,text,true,,164,255,877,877,http://0.0.0.0:5002/v1/sign-in,1021,0,12
1732810069388,949,SignIn,500,Internal Server Error,Thread Group 1-173,text,false,,161,255,877,877,http://0.0.0.0:5002/v1/sign-in,949,0,0
1732810069304,1034,SignIn,500,Internal Server Error,Thread Group 1-2,text,false,,161,255,877,877,http://0.0.0.0:5002/v1/sign-in,1034,0,83
1732810069309,1029,SignIn,500,Internal Server Error,Thread Group 1-55,text,false,,161,255,875,875,http://0.0.0.0:5002/v1/sign-in,1029,0,76
1732810069589,748,SignIn,500,Internal Server Error,Thread Group 1-359,text,false,,161,255,874,874,http://0.0.0.0:5002/v1/sign-in,748,0,1
